,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
312800,312801,B001SB0DN4,A9EG5O59PVG0M,Kate,0,0,5,1295222400,this brand is best for tomato-based sauces,"I agree with the other poster that this is the best crushed tomato product in a can. They use good quality tomatoes so they don't need to add anything else. Check the ingredient list. It's just tomatoes. I've only purchased this product at the grocery store, however. Pomi is equally great and supposedly better for you because it is in a box, but it is much more expensive."
36076,36077,B000T8VYQC,A2LSH89PR6GOQQ,"JenMS ""jenms""",0,0,4,1335484800,Great stuff!,"I just got a bottle of this, hoping to use it in cocktails, sodas, etc.  I haven't tried using it as a mixer yet, but I have been just adding it to seltzer water to make an Italian soda (I call it ""fairy soda"" for my young nieces).  It is very sweet (which is why I'm deducting one star) and not sure how it would hold up against other flavors, but even simply as a flavor for soda water, it's very refreshing."
566260,566261,B004P4POZ8,AE0P8Y67X1EL,R. Baxter,1,1,5,1330041600,Pure Genius!,"Bought this product on Amazon just over a week ago, and it's almost gone already! That should suffice for the ""how'd you like it?"" part. It's a pretty good sub for actual pb on sandwiches, etc., (found it mixed better with a bit of hot water rather than cold) but it's at least as good if not better in smoothies. First day, I tried it with the banana as folks had suggested, but discovered I liked it even better with just cold almond milk. Since then, I've been adding a packet or two of stevia and a tablespoon of ground flax to the mixture and having it in a tall glass with ice cubes; tastes like a pb milkshake! Yum. Only slight negative is the sugar they add to the powder; would prefer if this company sold a plain pb version (with or without the salt). Other than that, it's just about perfect."
469881,469882,B003YK8YL0,A2WID1W6MPVYAH,speckal,0,0,5,1309824000,great!,These have a very mild peanut butter flavor. I was expecting it to be much more overpowering but it is perfectly balanced!
66870,66871,B006J4MAIQ,A3D9NUCR4RXDPY,Kathleen San Martino,1,1,4,1330473600,A very delicious high-calorie breakfast,"Most granola cereal to me is very tasty and that is because they are sweet and have savory bits of chocolate or freeze-dried fruit (and sometimes nuts). This cereal is no different.<br /><br />You are supposed to get 10 servings in this 11.5 ounce bag and at 140 calories per serving (55 calories from fat and 6 grams of sugar), you would have to  eat only 2 tablespoons (or 1/4 cup or less than 1.2 ounces) of this cereal to get the allotted amount (and that's without milk).  I was unable to eat just one serving so I ate 2 servings with milk for breakfast.  The cereal is delicious with the chocolate and freeze-dried strawberries and raspberries but it does pack a calorie punch.<br /><br />The ingredients are organic with rolled oats, evaporated cane juice, and soy oil being the first three ingredients. The dark chocolate chunks are the 5th ingredient and the freeze-dried berry blend the 9th ingredient.<br /><br />This granola certainly has 5-star taste and is as good as most of the other flavored granolas (such as Bare Naked) that I've tried before.  However, the others I've tried have only 7 servings for the same amount of calories; they increased the amount of servings in this bag to reduce the appearance of calories and for that I take off one star."
192382,192383,B006GA666U,A3K0YGF422W6GK,jeffrey r,1,1,3,1232496000,Not one of my Favorites,"I don't know, people seem to like this k-cup, but it just did not do it for me.  Maybe I got a bad batch, as it was simply overpowering for me.  And I do like many of the bolder k-cups, such as Midnight Magic and Rainforest Espresso, but those are simply better coffees to me.  Maybe I'll give the Emeril's regular another chance, but it did not win me over the first time around.  As a side-note, I really like the Emeril's decaf--it is much more drinkable to me than the Emeril's regular."
43651,43652,B000P0SCKK,A3JBNINFTBDXDS,"Alan ""Ak""",0,0,5,1324944000,Too good can't stop eating them,This is a very satisfying product.My wife and I have been looking for a licorice product that we could graze on. This is it!
287232,287233,B001GVIUSG,A1Z3O59RMA16YS,BP,0,0,5,1345680000,Tasty!,"I bought this because of the pumpkin seeds and thought ""Oh, it's organic and 'hippy food', it's going to be awful"". However, it is amazing. Full of flavor and fruits and nuts, it is a hearty cereal that leaves you feeling good."
298208,298209,B000I5DJRI,ADO72DBUPFH4M,"Ashley O'Neil ""angeleyez""",1,1,3,1327622400,"Not great, but not bad either.","I like these well enough.  I like the flavor and enjoy them when I have them.  The only problem I have with them are the thick, larger pieces are not very good and way too hard to chew.  I like the skinny, smaller pieces a lot better and wish they'd all be small and thin instead of thick and hard.  The other problem I have is the slight plastic-y taste they seem to have every time you start a new piece.<br /><br />If each piece was thin and there was NO plastic-y taste whatsoever, I'd give these a FIVE.<br /><br />Otherwise, they are not terrible as I do enjoy them once in a while, but I can't say I love them."
333497,333498,B00188S3PM,A333ABL4WW067D,Brandy,0,0,1,1332374400,Fish tea,"I know nettle tea has a pretty distinct taste, but this particular brand was just unbearable. The smell reminded me of fish food pellets, and it had a fishy taste, too. I bought a pound of loose nettles from somewhere else for a lot cheaper, and the taste is so much better."
464834,464835,B000UBD88A,AKBFJY901QY0X,Louie,1,1,5,1345248000,Senseo dark roast,"Coffee has great flavor. Much better than Keurig, in my opinion. It was on back order, so had to wait longer than usual for it."
473311,473312,B0030VJ79Q,A1TRXOFG4XVIR8,"Eliz ""EO""",0,0,5,1322352000,We love Happy Tot!,"My 17 month old boy loves these, I don't give him as much of these as I used to since he is now into table food more than purees, but I would mix half of this in his oatmeal in the morning or if we are out, I'll use these as a snack or dessert. They are a good handy pouch to throw in your diaper bag and can sit there for days, if not weeks! I love all the ingredients in this one, baby seems to enjoy it too!"
395283,395284,B000H7ELTW,A1U8GLSJKZ07F7,"Jennifer A. Gustafson ""bluedog""",0,0,5,1266192000,yum!,"great price, very delicious<br /><br />I put the entire bag in my OXO air tight container. I add them to my cereal every morning."
73144,73145,B004NNJUZG,A2OWNNNKIITX5A,Lydia,0,0,5,1341619200,I have been eating these cookies for years,"I love this new 16 pack!  The value is great, much, much cheaper than buying from the actual company.  I definitely will be buying more and hope I can get just the chocolate this way next time."
550538,550539,B000MXHR0G,A1BD342U8BF3UC,Britney,0,1,5,1314230400,I got this for a diet i tried,"Ok, sounds crazy i know but i heard about this baby food diet and figured whats there to loose. The food tastes good, and im sure your baby will like it too hahaha!"
152674,152675,B001HXNIPS,A2OJRZP02AY669,Ingmarie E. Peck,0,1,4,1319414400,Siljans bread  from Amazon.com,"Being swedish living in the US, i miss a few of my favourite foods.<br />The Swedish crisp breads was one i really missed and the ones in local stores were not  very tasty. Siljans crisp bread to the rescue.It is crisp and tastes fresh, I highly recommend it.<br />Amazon ships fast and it is packed securely, no breakage."
111122,111123,B0014WYXYW,A3JJUCA6K4P31H,Elliot Knapp,0,0,4,1210809600,Blackberry Izze,"This review is written by a non soda-drinker; it's not that I never drink pop, it's just that I know it's not that good for my teeth or my body, so, up until receiving a bunch of Izze through Amazon Vine, I probably have drank at most 1 pop a month (probably less) for about the past 5 years.  Since I'm not an everyday soda drinker, I'm not particularly concerned when I do drink one that it's low in calories, ""diet,"" or anything else--it's just gotta satisfy my very occasional desire for a soda.  With this in mind, I'll keep my reviews (yeah, I did request 4 different ones--should last me about 10 years at this rate!) of Izze short and simple.<br /><br />Of the two I've tried, I like this blackberry one less.  I do like it, but the flavor is less reminiscent of actual blackberries and more reminiscent of that generic blackberry flavor that comes in soda and other products.  I actually like the very small (8.4 oz) cans a lot, since it doesn't take much for me to get a soda fix, and I probably don't need twice as much refined sugar that comes in a larger can.  It's soda, and it tastes good--if you buy your soda from Amazon.com(!?!), I recommend giving this a try."
111215,111216,B0029K3GXW,A1YB4XLIQZYENP,Luke,2,3,4,1285027200,My Favorite Mass-Market Jerky,"Sugar Ray's Honey Chipotle is my absolute favorite jerky available in average/common stores.  Its not too soft or too hard. Just enough density to give a satisfying chew without overworking my jaw muscles. And the flavor is fantastic! A little sweet with a gentle kick of spice. You say ""gentle kick"", what is that? Enough spice to warm my mouth, but not tear me up or make my nose run. Also enough spice to keep the vultures (my kids) from wanting more than just a taste.<br /><br />The only reason I'm giving this 4 of 5 stars is the price.  This jerky is a little bit more expensive than comparable products...I just can't resist the flavor! Haha.  So if you don't like the price, don't try it.  Like me, you might not be able to go back to your old jerky."
104019,104020,B0010BQB6A,A2A53RXP2HHIH,cutbow,0,0,4,1339459200,Interesting Tea,"For someone who generally finds green and white tea mostly uninspiring this provides and interesting change of pace.  I drink green and white tea for the antioxidants and not the taste.  I think I would still pretty much put this Oolong in that category but admittedly I simply am a coffee and black tea drinker.  It is a good, interesting product and I may have under rated it because of personal preference."
388477,388478,B0030VJA7K,A2AJ25RVRCJA4L,LeahS,0,0,5,1289865600,My Son LOVES these,"My son loves these melts. They are easy to take with us, and great to mix with other treats to give as a healthy snack during the day. I secretly like them too :)"
251627,251628,B001SITYJ6,A3SMVB6EXX8OVH,Romeo Faison,0,0,5,1260576000,Hello.,"This is very tasty beef jerky, but a little too expensive. If the price was lower i would order this on a regular basis."
4610,4611,B00584HTX4,A9LO8OD8SBMV2,amillerslp,0,0,4,1325721600,cute packaging if you put it all together,"I bought these and yes they do come in plastic bags with a label on each but also included was a five sided box that you can fold together that has a picture of each flavor, one on each side. It makes a cute little colorful box, nice to give as a gift if you put it together."
464696,464697,B000UBD88A,ALK7SWVTM4MUJ,Courtney Martin,0,0,5,1242000000,Great Product,Medium Roast is my favorite for an everyday coffee drink. I love Senseo -- so quick and easy!
330245,330246,B001OHX1ZY,A385VL53HRJWAJ,Joshua L. Pilkington,5,7,3,1282780800,Good product.  Too bad it doesn't agree with me.,"I ordered the 3-pound bag of Nutiva 50% Protein Hemp Powder at the beginning of July.  I wanted to replace whey protein with hemp protein to cut down on processed foods for bodybuilding.  The quality of the product was superb and fresh.  Taste-wise, it isn't the best tasting powder in the world, but that can easily be fixed by mixing it with almond milk.<br /><br />After drinking my first shake I noticed a lot of gas and bloating -- which is odd given that this product is supposed to have less bloat than whey.  I figured my body was simply adjusting to the extra fiber and kept taking it for the next month.<br /><br />For the second-third weeks, my body was able to tolerate this stuff relatively well.  However, when I reached the 6-7th week, I started getting severe bloating and stomach pains to the point of vomiting.  In addition, I got a slight headache, slight chills and muscle twitching in my ears.  Given this product's reputation, I didn't want to attribute my problems with this product.  I went to the doctor and he gave me a trial of a proton pump inhibitor.  I suspected my GI problems were due to the pre-workout supplement I was taking.  The proton pump inhibitor should allow my digestive system to heal.<br /><br />To rule this product out, I quit taking the hemp and pre-workout supplement for a few days and simply ate more regular food.  I felt better by the weekend.  After those few days, I tried whey protein.  No bloating.  That night, I tried another hemp shake (with almond milk).  One hour after drinking the shake, I got the severe bloating and pain again.. just as bad as before.  I also got the slight headache, chills and ear muscle twitching.  It definitely isn't the almond milk, as I drink almond milk all the time for breakfast.  It also isn't the fiber, as I eat salads full of broccoli all the time.<br /><br />It appears I have an allergic reaction to hemp protein powder.  That is a shame, given all the health benefits of hemp.<br /><br />For now, I will have to stick to whey."
329918,329919,B002QWHJOU,A22FOCP4I28ZKJ,B. Stephens,0,0,5,1256342400,My dog can't live without these!,"Because our dog has to have his greenie every day, we have to make sure we have them on hand at all times.  The price was great, the shipment arrived promptly and the main thing is our dog is happy.<br />B. Stephens"
358621,358622,B003CIBPN8,A2IJPJZ18XXL9F,A. T. Nguyen,6,9,1,1274140800,very very very disappointed,"I was sooo initially excited about pre-ordering on amazon.com before it was available.  Then someone posted a not so good review from this same product in store and I was concerned.  Customer service said non-returnable item once shipped because it is considered perishable item.  My order just came, and boy am I ssooooooo DISAPPOINTED.  Smells funny, tastes salty.  Not same formulation.  Zico should have disclosed new formulation.  Before stumbling on Zico, me and my girlfriend did numerous taste tastes with the other brands.  I will try to hunt down Harvest Bay Coconut Water.  That brand was very comparable to the old Zico.<br /><br />I was a ZICO fan, but this new formulation just is grossly disappointing."
118440,118441,B003VDB79Q,A506HOOCVL8GW,"J. Kurz ""J. Q. Public""",0,1,5,1294444800,"Delicious, as always!",You can never go wrong with a box of Hawaiian Host Chocolate Covered Macadamia Nuts.  My wife was in Hawaii a few months ago and fell in love with these chocolates.<br /><br />Good candy.
210307,210308,B001TM70V0,A12S5JMBF5Y9K3,"Amazon Girl ""Cat Lady""",2,4,3,1277337600,Cats don't like peas and eat around them,I have 4 cats and none of them will eat the peas in this product unless I take a fork and mash the peas up. They are hard and are hard to mash up. I will not get this product again.
179889,179890,B008GRONV6,AKVRWEU18CVRZ,paddie peddecord,6,7,1,1310947200,"really bad packaging on item, item's ruined",the pill pockets are supposed to be little ROUND treats so you can put the pill in the middle. The packaging Amazon used is what they would use for a flat book. This whole package is smooshed and ruined and one big flat sheet of treats. This is the first time I have ever had a problem with Amazon's shipping. I will not be ordering this item again from them and I am a little disappointed because this is the best price I have found for these anymore! I guess the cheap price comes with a cost!
379437,379438,B007RLRCLK,AJ106JEO96BXI,grandmom,0,0,5,1296172800,Time for tea!,"This tea is lovely for a refreshing iced tea, a comforting hot tea or mixed into a light Sangria.  'Hard to find, but worth the effort."
210855,210856,B001HBBQKY,A8FJHPCMKR28F,Linda,0,1,5,1269388800,Perfect holistic treat for puppy with sensitive tummy,"the Whole Dog Journal recommended Wellness dog food and puppy treats.  These have been wonderful.  We have a picky puppy but she loves Wellness products.  We have tried many ""healthy"" foods and treats and she wouldn't eat them.  Wellness really hits the spot with our Gigi."
343014,343015,B0012C7VLG,A2NO40R4H4AAZP,Emma Moore,2,2,5,1342483200,Such an incredible deal,I shop at the most expensive health food stores and wanted to find a way to cut costs. I love hemp and make my own milk.<br />It is a great recovery drink or a good base to smoothie.<br />SOO happy it is reasonably priced and I can order in bulk.
100607,100608,B0029NU31M,A13DOLMII1JPXC,onecutepugdickey,0,0,5,1319587200,MY PUG WONT EAT ANYTHING ELSE,My 9 1/2 year old pug seems to have developed a senesitive stomach as he got older and lost some teeth.. So I had to put him on some soft food that would not upset his tummy.. I bought these for him and Thought he was gonna eat right thru the bowl the 1st time I put it out for him.. Needless to say he absoutly loves his food! and it seems to agree with his tummy.
389312,389313,B000P54HZY,A286LOQGOYEZWH,"truth seeker ""truth seeker""",3,9,1,1225584000,contains MSG!,"whey protein isolate... rice extract... two sources of MSG.  skip this and all of 'natures path' products.  theyre tainted.<br />  if you think that organic means safe, think again.  monosodium glutamate can be considered ""organic"" or ""natural"".<br />  watch these trickster ingredients, friends.  if youve made the leap to organic, you have to dump the MSG from your diet too.  get researching if you dont know about monosodium glutamate."
29600,29601,B000PDY3P0,A2E2IEYWWNU4T5,Nicole Koch,0,4,1,1324080000,Terrible,"I don't know why they're so many good reviews, but this popcorn is terrible!! Nothing like the movie theatres popcorn...save your money and stick with microwable bags!!"
110202,110203,B001PMC3O8,A3DMXJMKZ35TNX,Kate,1,1,5,1311379200,yummy!!!!  says marmalade!,"my kitty loves this food!!!  she's a talker and verbally meows her approval!  great price, esp. with regularly scheduled shipping!  just wish that in a case order that i could mix flavors  so she has a variety........"
264945,264946,B005CIMZAS,A2DDJPV9X6MXLF,V. Crawford,1,1,4,1335657600,Delicious!,"I am always in the search for a yummy iced coffee to make at home and am so excited I finally tried this. The price was a little more than I wanted to spend, but compared to the real thing, it's a deal. This is how I make my wonderful glass of iced coffee: First of all, I am one of those people who enjoy a little coffee with their cream and sugar, so I only use a half packet at a time in a tall glass of cold water. I only fill the glass a little over half way full with water and mix in the half packet of coffee. Then, I pour in my milk, almost to the top of the glass, and add 2 HEAPING spoon fulls of condensed sweetened milk that I keep in a container in the fridge where it'll last for a long time. That stuff is a bit sticky, (as is anything wonderfully sweet) so stir stir stir! With a few ice cubes thrown in to keep it cold, it's perfection! No need to add any more sugar since I cut the coffee down and add sweetened condensed milk, either. The only complaint I have is what everyone else has noticed as well, that there is a slightly bitter coffee taste."
384936,384937,B0019S6QAK,A266Q0JUK75OZL,ParamanB,2,2,5,1296432000,"Best ""breath mints"" ever","I've enjoyed these anise pastilles for many years.  Just 3 ingredients, none of them artificial.  If you like anise flavor or like licorice you'll probably love these.  Everyone I've ever given them to loves them too.  Intense but not harsh, refreshing flavor.  Size and shape of tic tacs, but so much better!  I order them by the case to keep on hand.  The tin is lovely too.  Too good to be called breath mints, they are really a wonderful convection."
437867,437868,B000VHFFO8,A6D6QQGA566WY,Duke Jackson,0,0,5,1341446400,Kosher wasabi peas,"Seriously, these are Kosher which means they have no funky ingredients.<br /><br />Love these peas, especially for the office.<br /><br />Crunchy, spicy and fun, they are a better alternative to chips and other fried snacks.<br /><br />This bag is the least expensive way to buy them and a great value/savings over the smaller packs Roland brand makes."
514954,514955,B000FPJ4MU,AE31OVY2J58GS,Hausweet,0,0,5,1350691200,Yummy in the tummy!!,"These are my baby's FAVORITE foods!!! And my child is a very very very very picky eater (prefers milk over food).  A little thin but perfect for 4-6 mo and for the older babies, we thicken it by adding meat or rice cereal. I was very disappointed and frustrated when all 5 of our local stores stopped carrying these. So happy I found them here for my baby! The ppl here who complain about tuna oil added are dumb (no pun intended). They help with baby brain development.  It's not super easy to find the organic baby foods you want with DHA added in them (ellas kitchen, plum organic, etc don't have DHA) -- go buy those and quit whining about tuna oil added to The gerber organic green beans bc it's probably folks like you who complained to the stores that make it very difficult for many parents like me to FIND this food in stores! And if the complaining persists, gerber may stop making it all together and babies who love this product will suffer! Gerber, don't stop making these! I would give it 6 stars if I could!<br /><br />I bought 48 containers of gerber organic green beans from Amazon and can't wait to see the smile on her face when we eat  these again (she has been w/o these for 3 mo),"
88565,88566,B002RNYBVM,ANDY0MQMQWC0,R. Fillman,1,1,3,1332806400,melted mounds,"Box arrived shipped well and not damaged.  However, inside the box, every chocolate had been deformed with chocolate on the outside of the wrappers."
